test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9377,48,0030,0030,48,0,0.0,0,1
9378,-68,FFBC,FFBC,-68,0,0.0,0,1
9379,19,0013,0013,19,0,0.0,0,1
9380,118,0076,0076,118,0,0.0,0,1
9381,-32,FFE0,FFE0,-32,0,0.0,0,1
9382,33,0021,0021,33,0,0.0,0,1
9383,7,0007,0007,7,0,0.0,0,1
9384,32,0020,0020,32,0,0.0,0,1
9385,12,000C,000C,12,0,0.0,0,1
9386,53,0035,0035,53,0,0.0,0,1
9387,88,0058,0058,88,0,0.0,0,1
9388,-65,FFBF,FFBF,-65,0,0.0,0,1
9389,-49,FFCF,FFCF,-49,0,0.0,0,1
9390,0,0000,0000,0,0,0.0,0,1
9391,-23,FFE9,FFE9,-23,0,0.0,0,1
9392,-8,FFF8,FFF8,-8,0,0.0,0,1
9393,45,002D,002D,45,0,0.0,0,1
9394,83,0053,0053,83,0,0.0,0,1
9395,-196,FF3C,FF3C,-196,0,0.0,0,1
9396,-24,FFE8,FFE8,-24,0,0.0,0,1
9397,23,0017,0017,23,0,0.0,0,1
9398,3,0003,0003,3,0,0.0,0,1
9399,233,00E9,00E9,233,0,0.0,0,1
9400,-11,FFF5,FFF5,-11,0,0.0,0,1
9401,-139,FF75,FF75,-139,0,0.0,0,1
9402,22,0016,0016,22,0,0.0,0,1
9403,-193,FF3F,FF3F,-193,0,0.0,0,1
9404,107,006B,006B,107,0,0.0,0,1
9405,1,0001,0001,1,0,0.0,0,1
9406,6,0006,0006,6,0,0.0,0,1
9407,67,0043,0043,67,0,0.0,0,1
9408,-112,FF90,FF90,-112,0,0.0,0,1
9409,-28,FFE4,FFE4,-28,0,0.0,0,1
9410,-101,FF9B,FF9B,-101,0,0.0,0,1
9411,32,0020,0020,32,0,0.0,0,1
9412,75,004B,004B,75,0,0.0,0,1
9413,5,0005,0005,5,0,0.0,0,1
9414,114,0072,0072,114,0,0.0,0,1
9415,-46,FFD2,FFD2,-46,0,0.0,0,1
9416,89,0059,0059,89,0,0.0,0,1
9417,139,008B,008B,139,0,0.0,0,1
9418,-61,FFC3,FFC3,-61,0,0.0,0,1
9419,88,0058,0058,88,0,0.0,0,1
9420,57,0039,0039,57,0,0.0,0,1
9421,97,0061,0061,97,0,0.0,0,1
9422,-143,FF71,FF71,-143,0,0.0,0,1
9423,-229,FF1B,FF1B,-229,0,0.0,0,1
9424,-178,FF4E,FF4E,-178,0,0.0,0,1
9425,-143,FF71,FF71,-143,0,0.0,0,1
9426,-123,FF85,FF85,-123,0,0.0,0,1
9427,36,0024,0024,36,0,0.0,0,1
9428,-53,FFCB,FFCB,-53,0,0.0,0,1
9429,12,000C,000C,12,0,0.0,0,1
9430,-51,FFCD,FFCD,-51,0,0.0,0,1
9431,-56,FFC8,FFC8,-56,0,0.0,0,1
9432,-155,FF65,FF65,-155,0,0.0,0,1
9433,106,006A,006A,106,0,0.0,0,1
9434,-83,FFAD,FFAD,-83,0,0.0,0,1
9435,-100,FF9C,FF9C,-100,0,0.0,0,1
9436,-108,FF94,FF94,-108,0,0.0,0,1
9437,1,0001,0001,1,0,0.0,0,1
9438,50,0032,0032,50,0,0.0,0,1
